VOTER NAME,ROW_ID
Tennell Atkins,8589934592
the  final   20...,25769803776
Scott Griggs,34359738368
Scott  Griggs,42949672960
Sandy Greyson,51539607552
Michael S. Rawlings,1.03079E+11
the final 2018 A...,1.11669E+11
Kevin Felder,2.31928E+11
Adam Medrano,2.40518E+11
null,3.60777E+11
the   final  2...,3.95137E+11
  011018__42,6.01295E+11
"Casey Thomas, II",6.35655E+11
Mark  Clayton,6.70015E+11
"Casey  Thomas, II",8.07454E+11
Sandy  Greyson,8.50404E+11
Mark Clayton,9.44893E+11
Jennifer S.  Gates,9.62073E+11
Tiffinni A. Young,1.00502E+12
the  final  201...,1.04797E+12
B. Adam  McGough,1.05656E+12
Omar Narvaez,1.11669E+12
Philip T. Kingston,1.12528E+12
Rickey D. Callahan,1.12528E+12
Dwaine R. Caraway,1.14246E+12
Philip T.  Kingston,1.18541E+12
Jennifer S. Gates,1.194E+12
Lee M. Kleinman,1.22836E+12
Monica R. Alonzo,1.38298E+12
the   final  2...,1.44311E+12
Rickey D.  Callahan,1.59773E+12
Carolyn King Arnold,1.63209E+12
the  final   20...,1.68363E+12
 Erik Wilson,1.70081E+12
the  final  201...,1.70081E+12
Lee Kleinman,1.7094E+12
